id,Ajami,Wolof_attendu,Wolof_predit,category,operations
860,ياووت يا وێر كو نە كو: «كاڽ,Yawut ya wër ko ne ko: «Kañ,yawut ya wér ko ne ko: «Kañ,Diacritique / accent,replace | replace
861,"ڽي چي دەس نە, يااي كەنن چي","ñi ci des ne, yaay kenn ci","Ñi ci des ne, yaay kenn ci",Majuscule / minuscule,replace
862,"واايە دەملەەن چي بانني يسراييل, ڽووم ڽي رێەر نيي خار.","Waaye demleen ci bànni Israyil, ñoom ñi réer niy xar.","waaye demleen ci bànni Israyil, ñoom ñi réer niy xar.",Majuscule / minuscule,replace
863,"مو ماگ چي گەرەگ يي راگال ياللا,","mu mag ci Gereg yi ragal Yàlla,","mu mag ci gereg yi ragal Yàlla,",Majuscule / minuscule,replace
864,واسينەە,wasinee,assinee,Erreur multiple / combinaison,delete | insert
865,"يەەسوم ناسارەت, بوورو ياووت يي.»","Yeesum Nasaret, buuru Yawut yi.»","yeesum Nasaret, buuru yawut yi.»",Majuscule / minuscule,replace | replace
866,"نوونو سەيتاانە دالدي سولو يوداا, مي ڽوي","Noonu Seytaane daldi solu Yudaa, mi ñuy","Noonu seytaane daldi solo yudaa, mi ñuy",Substitution,replace | replace | replace
867,مەلوكااني,melokaani,melukaani,Substitution,replace
868,"گيسەە نە يەەسو راخاسووول, لااتا موي لەكك.","gisee ne Yeesu raxasuwul, laata muy lekk.","gisee ne Yeesu raxasooul, laata muy lekk.",Substitution,replace
869,"كەنەەن چا تااليبە يا دي اندارە, مي","Keneen ca taalibe ya di Andare, mi","keneen ca taalibe ya di andare, mi",Majuscule / minuscule,replace | replace
870,بووبا اموون نا فا باممەەل بو ڽو موسول ا سوول كەنن.,booba amoon na fa bàmmeel bu ñu musul a suul kenn.,Booba amoon na fa bàmmeel bu ñu musul a sool kenn.,Substitution,replace | replace
871,"بێس مو نە چي خەلام: “راگالوما ياللا تە فاالەووما مبيندەەف,","bés mu ne ci xelam: “Ragaluma Yàlla te faalewuma mbindeef,","Bés mu ne ci xelam: “ragaluma Yàlla te fàalewuma mbindeef,",Diacritique / accent,replace | replace | replace
872,مو دالدي لەەن نەتتالي لي مو كو واخ.,Mu daldi leen nettali li mu ko wax.,mu daldi leen nettali li mu ko wax.,Majuscule / minuscule,replace
873,"ڽو گيسەە نيت, كا ساچچ يا دوگالە ووون?»","ñu gisee nit, ka sàcc ya dogale woon?»","ñu gisee nit, ka sàcc ya dugale woon?»",Substitution,replace
874,"يەروسالەم, ڠير ڽو يار لەەن.","Yerusalem, ngir ñu yar leen.","yerusalem, ngir ñu yar leen.",Majuscule / minuscule,replace
875,ياللا يۆنني ووون نا نيت كو ڽو ناان ياخيا.,Yàlla yónni woon na nit ku ñu naan Yaxya.,Yàlla yónni woon na nit ku ñu naan yaxya.,Majuscule / minuscule,replace
876,"اك ياللا, تە كاددو گي ياللا لا ووون.","ak Yàlla, te Kàddu gi Yàlla la woon.","ak Yàlla, te kàddu gi Yàlla la woon.",Majuscule / minuscule,replace
877,وووتەەك,wuuteek,wooteek,Substitution,replace
878,چێري,cëri,céri,Diacritique / accent,replace
879,دي دێگێرال مبوولووي ڽي گێم.,di dëgëral mboolooy ñi gëm.,di dégëral mboolooy ñi gëm.,Diacritique / accent,replace
880,ندانك,ndank,ddnakk,Duplication / répétition,insert | delete | delete | insert
881,نو موسال چي مەروم ياللا.,nu musal ci merum Yàlla.,uusal ci merum Yàlla.,Suppression,delete | delete
882,نەتتاليل,nettalil,eetil,Erreur multiple / combinaison,replace | delete
883,واايە گوددي گووگو جاپپوڽو دارا.,Waaye guddi googu jàppuñu dara.,waaye guddi googu jàppuñu dara.,Majuscule / minuscule,replace
884,ساككان,sakkan,sàkkan,Diacritique / accent,replace
885,"مو داو, دەم چا سيموڠ پييەەر اك","Mu daw, dem ca Simoŋ Piyeer ak","mu daw, dem ca simoŋ Piyeer ak",Majuscule / minuscule,replace | replace
886,دوون,duun,doon,Substitution,replace
887,"ما ڽااري ميليوڠ, سەەتال, امە ناا چي يەنەەن ڽاار.”","ma ñaari milyoŋ, seetal, ame naa ci yeneen ñaar.”","ma ñaari milioŋ, seetal, ame naa ci yeneen ñaar.”",Substitution,replace
888,واايە جارااف جا امول لو مو فەيە.,waaye jaraaf ja amul lu mu feye.,Waaye jaraaf ja amul lu mu feye.,Majuscule / minuscule,replace
889,"واايە لي خام-خامو ياللا دي جور, مووي فيرندەەل نە دێگگ لا.»","Waaye li xam-xamu Yàlla di jur, mooy firndeel ne dëgg la.»","waaye li xam-xamu Yàlla di jur, mooy firndeel la.»",Erreur multiple / combinaison,replace | delete
890,مو جێكك ا فەەڽو ماريااما مو دێكك,mu jëkk a feeñu Maryaama mu dëkk,Mu jëkk a feeñu maryaama mu dëkk,Majuscule / minuscule,replace | replace
891,"ندوخ اك چي خەلوم ياللا, دوو مان","ndox ak ci Xelum Yàlla, doo man","Ndox ak ci xelum Yàlla, doo man",Majuscule / minuscule,replace | replace
892,لێو,léw,lëw,Diacritique / accent,replace
893,ڽو ڠي دوون ووت ا جاپپ يەەسو,ñu ngi doon wut a jàpp Yeesu,Ñu ngi doon wut a jàpp yeesu,Majuscule / minuscule,replace | replace
894,"مو سەلل ميي لەەرال, سەەدەەل نا ما نە, دێگگ لااي واخ.","mu Sell miy leeral, seedeel na ma ne, dëgg laay wax.","mu sell miy leeral, seedeel na ma ne, dégg laay wax.",Diacritique / accent,replace | replace
895,"خوتباكات يا. ديناڽو كو اتتە, تەگ كو","xutbakat ya. Dinañu ko àtte, teg ko","xutbakat ya. Dinañu ko àtte, teg ku",Substitution,replace
896,لێەگي ناگ يێەنا ڠي ماي ووت ا,Léegi nag yéena ngi may wut a,léeeyi nag yéena ngi may wut a,Duplication / répétition,replace | replace
897,گاننااو لوولو مو نە لەەن: «كو سا,Gannaaw loolu mu ne leen: «Ku sa,gannaaw loolu mu ne leen: «Ku sa,Majuscule / minuscule,replace
898,"ڽێو چي مووم, ناان كو: “اتتە ما اك ساما نوون!”","ñëw ci moom, naan ko: “Àtte ma ak sama noon!”","yëw ci moom, naan ko: “àtte ma ak sama noon!”",Substitution,replace | replace
899,ڽااري تێەمێەري خارەكات اك جورۆوم-ڽاار-فوككي گاوار اك,ñaari téeméeri xarekat ak juróom-ñaar-fukki gawar ak,Ñaari téeméeri xarekat ak juróom-ñaar-fukki gawar ak,Majuscule / minuscule,replace
900,"يت كان مووي بااي بي, كو دول","it kan mooy Baay bi, ku dul","it kan mooy baay bi, ku dul",Majuscule / minuscule,replace
901,چي كاو لوولو پوول تونتو نە: «لو,Ci kaw loolu Pool tontu ne: «Lu,ci kaw loolu Pool tontu ne: «Lu,Majuscule / minuscule,replace
902,چي كاو لوولو يەەسو تونتو كو نە:,Ci kaw loolu Yeesu tontu ko ne:,ci kaw loolu Yeesu tontu ko ne:,Majuscule / minuscule,replace
903,"ڽاار نديگال يوويو, مو جۆگە فا, ڠير","ñaar ndigal yooyu, mu jóge fa, ngir","Ñaar ndigal yooyu, mu jóge fa, ngir",Majuscule / minuscule,replace
904,"«ياا دي الماسي بي, دوومو ياللا اجي دوند جي.»","«Yaa di Almasi bi, Doomu Yàlla Aji Dund ji.»","«Yaa di Almasi bi, doomu Yàlla Aji dund ji.»",Majuscule / minuscule,replace | replace
905,باول بي ام نا اي توول يو باري,Baol bi am na ay tool yu bari,bawl bi am na ay tool yu bari,Substitution,replace | replace
906,"باات بو ما نە: “سوول, سوول, لو","baat bu ma ne: “Sool, Sool, lu","Baat bu ma ne: “Sool, suul, lu",Substitution,replace | replace
907,دينا جور دووم جو گۆور نا ڠا كو توددە يەەسو,Dina jur doom ju góor na nga ko tudde Yeesu,dina jur doom ju góor na nga ko tudde yeesu,Majuscule / minuscule,replace | replace
908,"تە فا ما جێم, خام ڠەەن يوون وي.»","Te fa ma jëm, xam ngeen yoon wi.»","te fa ma jëm, xam ngeen yoon wi.»",Majuscule / minuscule,replace
909,«دەمال سێلمو چي بێتو سيلووە.» سيلووە مي,«Demal sëlmu ci bëtu Silowe.» Silowe mi,«Demal sëlmu ci bëtu Silooe.» Silooe mi,Duplication / répétition,replace | replace
910,ياا ڠي دەم چي ێچولە بي,Yaa ngi dem ci école bi,yaa ngi dem ci école bi,Majuscule / minuscule,replace
911,دوومو نيت كي; مووي كان?»,Doomu nit ki; mooy kan?»,doomu nit ki; mooy kan?»,Majuscule / minuscule,replace
912,نووتااڠە,nootaange,Nootaange,Majuscule / minuscule,replace
913,ڽاككول,ñàkkul,ñakkul,Diacritique / accent,replace
914,"چي كيليفتەەفو سەيتاانە, نداختە ياللا اند نا اك مووم.","ci kilifteefu Seytaane, ndaxte Yàlla ànd na ak moom.","ci kilifteefu seytaane, ndaxte Yàlla ànd na ak moom.",Majuscule / minuscule,replace
915,واايە مو نداو لا.,Waaye mu ndaw la.,waaye mu ndaw la.,Majuscule / minuscule,replace
916,تاگگاتال,tàggatal,taggatal,Diacritique / accent,replace
917,"واايە فەككوڽو فا نێەوام. ڽو دەللوسي, نەتتالي","waaye fekkuñu fa néewam. Ñu dellusi, nettali","Waaye fekkuñu fa néewam. Ñu dellusi, nettali",Majuscule / minuscule,replace
918,جوخە ساما باككان ڠير جێلاات كو.,joxe sama bakkan ngir jëlaat ko.,joxe sama bàkkan ngir jëlaat ko.,Diacritique / accent,replace
919,تە وێر نە مو ڠي دوند; مو,te wér ne mu ngi dund; mu,Te wér ne mu ngi dund; mu,Majuscule / minuscule,replace
920,"ندەيجوور واخامباانە وو سول مبوبب مو وەەخ, ڽو دالدي تييت.","ndeyjoor waxambaane wu sol mbubb mu weex, ñu daldi tiit.","ndeyjoor waxambaane wu sul mbubb mu weex, ñu daldi tiit.",Substitution,replace
921,ماا ڠي تودد فاتوو.,Maa ngi tudd Fatou.,maa ngi tudd fàtoo.,Substitution,replace | replace | replace
922,"كو لەەن فيتناال, ڽاانال-لەەن كو ييو, تە باڽ كوو مۆولو.","Ku leen fitnaal, ñaanal-leen ko yiw, te bañ koo móolu.","ko leen fitnaal, ñaanal-leen ko yiw, te bañ koo móolu.",Substitution,replace
923,"نداختە لي بورووم بي دوگال چي اددينا,دينا","Ndaxte li Boroom bi dogal ci àddina,dina","Ndaxte li boroom bi dugal ci àddina,dina",Substitution,replace | replace
924,خام ناڽو ما بو ياگگ تە مان,Xam nañu ma bu yàgg te man,xam nañu ma bu yàgg te man,Majuscule / minuscule,replace
925,جوب كێپپ كو كو گێم.,jub képp ku ko gëm.,jub képp ku ku gëm.,Duplication / répétition,replace
926,نوونولە لا مالااكاي ياللا يي دي امە,noonule la malaakay Yàlla yi di ame,Noonule la malaakay Yàlla yi di ame,Majuscule / minuscule,replace
927,"فەككسي كو. مو ڽاان كو,","fekksi ko. Mu ñaan ko,","Fekksi ko. Mu ñaan ko,",Majuscule / minuscule,replace
928,"نوونو فاريسەن يا لااج لەەن: «مباا ناخوڽو لەەن, يێەن يتام?","Noonu Farisen ya laaj leen: «Mbaa naxuñu leen, yéen itam?","woonu Farisen ya laaj leen: «Mbaa naxuñu leen, yéen itam?",Substitution,replace
929,چا ساا سا موي يێگلە چا جاڠو,Ca saa sa muy yégle ca jàngu,ca saa sa muy yégle ca jàngu,Majuscule / minuscule,replace
930,"ميسرا, مو دەف كو كيليفاگ ميسرا اك كێرام گێپپ.","Misra, mu def ko kilifag Misra ak këram gépp.","Yisra, mu def ko kilifag misra ak këram gépp.",Substitution,replace | replace
931,"گاننااوسي تەي, اي نيت ڠاي مباال جێمە چي مان.»","gannaawsi tey, ay nit ngay mbaal jëme ci man.»","yannaawsi tey, ay nit ngay mbaal jëme ci man.»",Substitution,replace
932,"يوكك يت ندامام, لو تاخ كون ياللا","yokk it ndamam, lu tax kon Yàlla","yokk it ndamam, lu tax kon yàlla",Majuscule / minuscule,replace
933,"دوگگە فيي, تە امولوو مبوببوم چێەت?” واا جي نە مييگ.","dugge fii, te amuloo mbubbum céet?” Waa ji ne miig.","dugge fii, te amuloo mbubbum céet?” waa ji ne miyg.",Substitution,replace | replace
934,گاننااو لوولو يەەسو فەەڽو ڽاار چي ڽووم,Gannaaw loolu Yeesu feeñu ñaar ci ñoom,Gannaaw loolu Yeesu feañu ñaar ci ñoom,Substitution,replace
935,دافا ام كو كو ينديل لەكك?»,dafa am ku ko indil lekk?»,dafa am ku ko yoniid lekk?»,Erreur multiple / combinaison,insert | replace | delete
936,"ڽي ياللا تاننال بوپپام, كان موو لەەن","Ñi Yàlla tànnal boppam, kan moo leen","ñi Yàlla tannal boppam, kan moo leen",Diacritique / accent,replace | replace
937,بێرە,bëre,bére,Diacritique / accent,replace
938,"جۆگە فا اك ي تااليبەەم, جالل خورو سەدورون, دوگگ چيب توول.","jóge fa ak i taalibeem, jàll xuru Sedoron, dugg cib tool.","jóge fa ak yittaalibeem, jall xoru Sedurun, dugg cib tool.",Erreur multiple / combinaison,insert | replace | replace | replace | replace | replace
939,"فاريسەن يا گێنن ناگ, دالدي گيسە, ڠير فەخەە رەيلو يەەسو.","Farisen ya génn nag, daldi gise, ngir fexee reylu Yeesu.","farisen ya génn nag, daldi gise, ngir fexee reylu.",Erreur multiple / combinaison,replace | delete
940,تەرە,tere,eere,Duplication / répétition,replace
941,بااي بي; لوولو دوي نا نو.»,Baay bi; loolu doy na nu.»,baay bi; loolu duy na nu.»,Substitution,replace | replace
942,"يەروسالەم يێگ ناڽو نە, واا ساماري ناڠو","Yerusalem yég nañu ne, waa Samari nangu","yerusalem yég nañu ne, waa Samari nangu",Majuscule / minuscule,replace
943,ڽێپپ ا ڠي ام جامم.,Ñépp a ngi am jamm.,ñépp a ngi am jàmm.,Diacritique / accent,replace | replace
944,مان لا. بو فەككەە نە ناگ مان,man la. Bu fekkee ne nag man,man la. Bu fekkee negnag man,Substitution,replace
945,لا وەددي موكك.» تااليبە يێپپ يت واخە نوونو.,la weddi mukk.» Taalibe yépp it waxe noonu.,Ya weddi mukk.» Taalibe yépp it waxe noonu.,Substitution,replace
946,لاگگي اك ڽو لافاڽ دالدي وێر.,làggi ak ñu lafañ daldi wér.,laggi ak ñu lafañ daldi wér.,Diacritique / accent,replace
947,في نەككال? نداخ نەككالو في يت ڽو دول ياووت? ااڠكاي!,fi nekkal? Ndax nekkalu fi it ñu dul Yawut? Aaŋkay!,fi nekkal? Ndax nekkalu fi it ñu dul yawut? Aaŋkày,Erreur multiple / combinaison,replace | replace | delete
948,ام بێس چي تيسباار ناگ مو ام,Am bés ci tisbaar nag mu am,am bés ci tisbaar nag mu am,Majuscule / minuscule,replace
949,كون مو تاگگتوو اك ڽووم ناان: «ديناا,Kon mu tàggtoo ak ñoom naan: «Dinaa,kon mu taggtoo ak ñoom naan: «Dinaa,Diacritique / accent,replace | replace
950,"ا ماي ماگگال, مووم مي ڠەەن ناان, مووي سەەن ياللا.","a may màggal, moom mi ngeen naan, mooy seen Yàlla.","a may màggal, moom mi ngeen naan, mooy seen yàlla.",Majuscule / minuscule,replace
951,لەەراايو لامپ نە رايي چي سا كاو.»,leeraayu làmp ne ràyy ci sa kaw.»,leeraayu làmp ne rayy ci sa kaw.»,Diacritique / accent,replace
952,يەدد لەەن نداخ سەەن ڠێمادي اك سەەن,yedd leen ndax seen ngëmadi ak seen,yedd leen ndax seen ngëmadi ak Seen,Majuscule / minuscule,replace
953,ناڠوو لاال سێف بي ساخ اك سەەن چاتي بااراام.,nangoo laal sëf bi sax ak seen cati baaraam.,nanguu laal sëf bi sax ak seen cati baaraam.,Substitution,replace
954,"يوروون بويەتو خااليس بي, تە داان چي ساكك.","yoroon boyetu xaalis bi, te daan ci sàkk.","yoroon buyetu xaalis bi, te daan ci sàkk.",Substitution,replace
955,وۆولوووو,wóoluwoo,wóoluwu,Substitution,replace
956,"كووكو مووي خەلو ياللا, مي يور دێگگ.","Kooku mooy Xelu Yàlla, mi yor dëgg.","kooku mooy xelu Yàlla, mi yor dégg.",Diacritique / accent,replace | replace | replace
957,"جوتتالي ناا لەەن سا كاددو, تە اددينا","Jottali naa leen sa kàddu, te àddina","jottali naa leen sa kàddu, te àddina",Majuscule / minuscule,replace
958,نيروولە,niroole,inroole,Erreur multiple / combinaison,insert | delete
959,"نوونو يەەسو تاخاو, دالدي نە: «ووولەەن كو!»","Noonu Yeesu taxaw, daldi ne: «Wooleen ko!»","noonu Yeesu taxaw, daldi ne: «Wowleen ko!»",Substitution,replace | replace
960,ناڠا دەف اك سا كێر.,Nanga def ak sa kër.,nanga def ak sa kër.,Majuscule / minuscule,replace
961,ڽو واخ چي مبيروم دووم يي.,Ñu wax ci mbirum doom yi.,ñu wax ci mbirum doom yi.,Majuscule / minuscule,replace
962,نان لاڽو كوي دەللوو چافكاام? املەەن خوروم تە ڠەەن جامموو.»,nan lañu koy delloo cafkaam? Amleen xorom te ngeen jàmmoo.»,yan lañu koy delloo cafkaam? Amleen xorom tà ngeen jàmmoo.»,Substitution,replace | replace
963,"بااي بي نەكك چي كاو,نا سا تور سەلل,","Baay bi nekk ci kaw,na sa tur sell,","baay bi nekk ci kaw,na sa tur sell,",Majuscule / minuscule,replace
964,"گارابو وليو گو كێر گي, ياللا دينا لەەن چي دەللوو.","garabu oliw gu kër gi, Yàlla dina leen ci delloo.","yarabu wliw gu kër gi, Yàlla dina leen ci delluo.",Substitution,replace | replace | replace
965,"ياو تەيوفيل مو تەدد مي, خام ڠا","Yaw Teyofil mu tedd mi, xam nga","yaw teyufil mu tedd mi, xam nga",Substitution,replace | replace | replace
966,"داگگەەكوو, مان دوما لا باييي موكك.»","dàggeekoo, man duma la bàyyi mukk.»","daggeekuo, man duma la bàyyi mukk.»",Substitution,replace | replace
967,چي لو اجو چي يوون وي.,ci lu aju ci Yoon wi.,ci lu aju ci yoon wi.,Majuscule / minuscule,replace
968,سێق,sëq,séq,Diacritique / accent,replace
969,دوي,doy,duy,Substitution,replace
970,ماڠي لاي ڽاانال گا ام خااليس.,Mangi lay ñaanal ga am xaalis.,màngi lay ñaanal ga am xaalis.,Diacritique / accent,replace
971,"«كيليفا يي, لو ما وار ا دەف, با موچچ?»","«Kilifa yi, lu ma war a def, ba mucc?»","yklifa yi, lu ma war a def, ba mucc?»",Substitution,replace
972,"تە باات نە كو: «جۆگال, پييەەر, رەي تە لەكك.»","Te baat ne ko: «Jógal, Piyeer, rey te lekk.»","te baat ne ko: «Jógal, Piyeer, rey te lekk.»",Majuscule / minuscule,replace
973,"چي كێر ياللا گي, با يندي سوبە","ci kër Yàlla gi, ba indi sobe","ci kër Yàlla gi, ba indi sube",Substitution,replace
974,"ڽوي دوگگ چا كێر ياللا گا, مو دێكك لەەن لوخو.","ñuy dugg ca kër Yàlla ga, mu dékk leen loxo.","Ñuy dugg ca kër Yàlla ga, mu dëkk leen loxo.",Diacritique / accent,replace | replace
975,"ليي مووي ڽاارەەلو فيرندە, بي يەەسو دەف","Lii mooy ñaareelu firnde, bi Yeesu def","liy mooy ñaareelu firnde, bi Yeesu def",Substitution,replace | replace
976,بايييواات كو في ات ميي. ديناا واقي,bàyyiwaat ko fi at mii. Dinaa wàqi,bàyyiwaat ku fi at miy. Dinaa wàqi,Substitution,replace | replace
977,"فووفا; تە ڽو بارە توپپ كو, مو وێرال لەەن ڽووم ڽێپپ.","foofa; te ñu bare topp ko, mu wéral leen ñoom ñépp.","woofa; te ñu bare topp ko, mu wéral leen ñoom ñépp.",Substitution,replace
978,"سا, مو جێم گێەج, واايە سيلاس اك تيموتە دەس فا.","sa, mu jëm géej, waaye Silas ak Timote des fa.","sa, mu jëm géej, waaye Silas ak timote des fa.",Majuscule / minuscule,replace
979,اجي كاوە جي دينا لا ييير چي,Aji Kawe ji dina la yiir ci,Aji kawe ji dina la yiyr ci,Substitution,replace | replace
980,فويتێەف,fuytéef,Foytéef,Substitution,replace
981,"ڽو دالدي سانني دييگال, ڠير واڽڽي دوخوب","ñu daldi sànni diigal, ngir wàññi doxub","Ñu daldi sànni diigal, ngir waññi doxob",Substitution,replace | replace | replace
982,"لەەن, كيي گۆور, كيي جيگێەن.","leen, kii góor, kii jigéen.","leen, kiy góor, kiy jigéen.",Substitution,replace | replace
983,ندام,ndam,ddàm,Duplication / répétition,delete | replace
984,گيس پوول چا كێر ياللا گا. ڽو,gis Pool ca kër Yàlla ga. Ñu,yis Pool ca kër Yàlla ga. Ñu,Substitution,replace
985,ام ناا ڽاار دووم.,Am naa ñaar doom.,am naa ñaar doom.,Majuscule / minuscule,replace
986,ندێنكاان,ndénkaan,ddnnaan,Erreur multiple / combinaison,insert | delete | delete
987,يەيوووول ا ليگگێەي چي ڠوورو ياللا.»,yeyoowul a liggéey ci nguuru Yàlla.»,yeyoowula liggéey ci nguuru Yàlla.»,Suppression,delete
988,لەوپوول,leopool,lewpool,Substitution,replace
989,"بااخ, ساخ, ناڠو با مەڽڽ تێەمێەري يوون","baax, sax, nangu ba meññ téeméeri yoon","baax, Sax, nangu ba meññ téeméeri yoon",Majuscule / minuscule,replace
990,پوليتيگ,politig,pulitig,Substitution,replace
991,اسماان,asmaan,sasmaan,Insertion,insert
992,اموڽو,amuñu,Amuñu,Majuscule / minuscule,replace
993,"نداختە گاراب, مەڽڽەەفام لاڽو كوي خاممەە. دەەسول","Ndaxte garab, meññeefam lañu koy xàmmee. Deesul","Yànte garab, meññeefam lañu koy xàmmee. Deesul",Substitution,replace
994,"نيت ناگ, نداخ ێپپول ماانا خار? كون","Nit nag, ndax ëppul maana xar? Kon","nit nag, ndax ëppul maana xar? Kon",Majuscule / minuscule,replace
995,وببەە,ubbee,bubbee,Insertion,insert
996,"ياو مي ناافێق, باي ساماندااي ميير بو","yaw mi naaféq, bay samandaay miir bu","yaw mi naaféq, bay samandaay miyr bu",Substitution,replace
997,"وار نا سونن لو بارە, ڽو خەەب كو, دێددو كو.","war na sonn lu bare, ñu xeeb ko, dëddu ko.","war na sunn lu bare, ñu xeeb ko, dëddu ko.",Substitution,replace
998,گاننااو ياللا باالول چار يا چوساانوو چا,Gannaaw Yàlla baalul car ya cosaanoo ca,Gannaaw Yàlla baalul car ya cosaanuo ca,Substitution,replace
999,تووبوون,tuuboon,tuubuon,Substitution,replace
1000,ماڠي دەم توگگ چي چين بي.,Mangi dem togg ci cin bi.,mangi dem togg ci cin bi.,Majuscule / minuscule,replace
1001,ندابي,ndabi,ddàbi,Duplication / répétition,delete | replace
1002,"مو سەەدەە كو نيي: “گيس ناا دااوودا,","mu seedee ko nii: “Gis naa Daawuda,","mu seedee ku nii: “Gis naa daawuda,",Substitution,replace | replace
1003,كوو لەكك چێب امنا وێرسێگ.,Kou lekk cëb amna wërsëg.,koo lekk cëb amna wërsëg.,Substitution,replace | replace
1004,"""بو ما يەەووو, داماي وێر.""","""Bu ma yeewoo, damay wér.""","""Bu ma yeewu, damay wér.""",Substitution,replace
1005,ڽي ما گێم ديناڽو اند اك فيرندە,Ñi ma gëm dinañu ànd ak firnde,ñi ma gëm dinañu ànd ak firnde,Majuscule / minuscule,replace
1006,نداختە كو دەف ساما چووبارەگ بااي بي,Ndaxte ku def sama coobareg Baay bi,Ndaxte ku def sama coobareg baay bi,Majuscule / minuscule,replace
1007,تە بولەەن راگال ڽو مان ا رەي,Te buleen ragal ñu man a rey,te buleen ragal ñu man a rey,Majuscule / minuscule,replace
1008,مان اك بااي بي بەنن لانو.»,Man ak Baay bi benn lanu.»,man ak baay bi benn lanu.»,Majuscule / minuscule,replace | replace
1009,يسراييل داڽوو خامول? ااڠكاي! موساا دافا جێككوون,Israyil dañoo xamul? Aaŋkay! Musaa dafa jëkkoon,Ysrayil dañoo xamul? Aangàk! Musaa dafa jëkkoon,Erreur multiple / combinaison,replace | replace | delete
1010,"بانت, جوخ كو كو, مو مووچو. مو","bant, jox ko ko, mu muucu. Mu","bant, jox ko ko, mu mooco. Mu",Substitution,replace | replace
1011,"سوو كو لااجەە, ياو چي سا بوپپ,","Soo ko laajee, yaw ci sa bopp,","soo ko laajee, yaw ci sa bopp,",Majuscule / minuscule,replace
1012,ڽو بارە چي يسراييل داانو تە يێككاتيكو.,ñu bare ci Israyil daanu te yékkatiku.,Ñu bare ci Israyil daanu te yékkatiku.,Majuscule / minuscule,replace
1013,تێيە,téye,ëéye,Substitution,replace
1014,"جۆگلەەن نو دەم; كي ماي وور ا ڠي نيي, دي ڽێو.»","Jógleen nu dem; ki may wor a ngi nii, di ñëw.»","jógleen nu dem; ki may wur a ngi nii, di ñëw.»",Substitution,replace | replace
1015,ێللێگ; نو ڠي نە سەەو ياللا بوولە,ëllëg; nu ngi ne seew Yàlla boole,yëllëg; nu ngi ne seew Yàlla boole,Insertion,insert
1016,"«كيليفا گي, موساا بيندال نا نو نە,","«Kilifa gi, Musaa bindal na nu ne,","«Kilifa gi, musaa bindal na nu ne,",Majuscule / minuscule,replace
1017,"بي, ياا ساكك اساماان, سووف, گێەج اك","bi, yaa sàkk asamaan, suuf, géej ak","bi, yaa sakk asamaan, suuf, géej ak",Diacritique / accent,replace
1018,"ڽو تاق چي مووم, نداخ لي مو","Ñu taq ci moom, ndax li mu","Ñu tàq ci moom, ndax li mu",Diacritique / accent,replace
1019,"نيير كو, دێگگ بااتو بورووم بي نە كو:","niir ko, dégg baatu Boroom bi ne ko:","niir ku, dégg baatu boroom bi ne ko:",Substitution,replace | replace
1020,"باككاارام ا كو وارال, واللا بو وااجورام?»","bàkkaaram a ko waral, walla bu waajuram?»","bàkkaaram a ku waral, walla bu waajuram?»",Substitution,replace
1021,"لو وۆور چي مبيروم ماام دااوودا, نە","lu wóor ci mbirum maam Daawuda, ne","lu wóor ci mbirum maam daawuda, ne",Majuscule / minuscule,replace
1022,"داماي واخ نە, مبورو مێپپ سەلل نا,","Damay wax ne, mburu mépp sell na,","damay wax ne, mburu mépp sell na,",Majuscule / minuscule,replace
1023,"اك اي جاڠورو يو وووتە, تە داق","ak ay jàngoro yu wuute, te dàq","ak ay jàngoro yu woote, te dàq",Substitution,replace
1024,يێوويكوو,yéwwikoo,yéwuyoo,Substitution,replace
1025,"چي مبارام. نداخ واروماا ناان كااسو ناقار,","ci mbaram. Ndax warumaa naan kaasu naqar,",ci mbaram. Ndax warumaa naan kaasu naqarararararararara,Duplication / répétition,replace
1026,نوونو ناڠوووڽوو ييوي ياسون اك ڽي چي,Noonu nanguwuñoo yiwi Yason ak ñi ci,Noonu nanguwuñuoy Yiwi Yasun ak ñi ci,Erreur multiple / combinaison,insert | replace | replace | replace
1027,"فەكك, تە ڽو بوكك چي يوون وي,","fekk, te ñu bokk ci yoon wi,","Fekk, te ñu bokk ci yoon wi,",Majuscule / minuscule,replace
1028,با تاخ تورام سييو با چي بيير,ba tax turam siiw ba ci biir,ba tax turam Siiw ba ci biir,Majuscule / minuscule,replace
1029,يۆننيل لێەگي ناگ اي نيت چي دێككو,Yónnil léegi nag ay nit ci dëkku,yónnil léegi nag ay nit ci dëkku,Majuscule / minuscule,replace
1030,دوي ڠير مبوولوو مو توللو نيي?»,doy ngir mbooloo mu tollu nii?»,duy ngir mbooloo mu tollu nii?»,Substitution,replace
1031,"ڽو نە: « “تەگ چاب ديير,” لو","Ñu ne: « “Teg cab diir,” lu","Ñu ne: «TTgg cab diir,” lu",Erreur multiple / combinaison,delete | replace
1032,"نوونو مو يووخو نە: «يەەسو, سێتو دااوودا, يێرێم ما!»","Noonu mu yuuxu ne: «Yeesu, Sëtu Daawuda, yërëm ma!»","woonu mu yuuxu ne: «Yeesu, sëtu Daawuda, yërëm ma!»",Substitution,replace | replace
1033,"تە يت بوولە ووون نا چي يەنەەن ڽااوتەەف,","te it boole woon na ci yeneen ñaawteef,","Te it boole woon na ci yeneen ñaawteef,",Majuscule / minuscule,replace
