Ajami,Wolof_attendu,Wolof_predit,categorie_audit
باول بي ام نا اي توول يو باري,Baol bi am na ay tool yu bari,bawl bi am na ay tool yu bari,Erreur linguistique / structurelle
"باات بو ما نە: “سوول, سوول, لو","baat bu ma ne: “Sool, Sool, lu","Baat bu ma ne: “Sool, suul, lu",Erreur linguistique / structurelle
دينا جور دووم جو گۆور نا ڠا كو توددە يەەسو,Dina jur doom ju góor na nga ko tudde Yeesu,dina jur doom ju góor na nga ko tudde yeesu,Casse uniquement
"تە فا ما جێم, خام ڠەەن يوون وي.»","Te fa ma jëm, xam ngeen yoon wi.»","te fa ma jëm, xam ngeen yoon wi.»",Casse uniquement
«دەمال سێلمو چي بێتو سيلووە.» سيلووە مي,«Demal sëlmu ci bëtu Silowe.» Silowe mi,«Demal sëlmu ci bëtu Silooe.» Silooe mi,Erreur linguistique / structurelle
ياا ڠي دەم چي ێچولە بي,Yaa ngi dem ci école bi,yaa ngi dem ci école bi,Casse uniquement
دوومو نيت كي; مووي كان?»,Doomu nit ki; mooy kan?»,doomu nit ki; mooy kan?»,Casse uniquement
نووتااڠە,nootaange,Nootaange,Casse uniquement
ڽاككول,ñàkkul,ñakkul,Diacritique uniquement
"چي كيليفتەەفو سەيتاانە, نداختە ياللا اند نا اك مووم.","ci kilifteefu Seytaane, ndaxte Yàlla ànd na ak moom.","ci kilifteefu seytaane, ndaxte Yàlla ànd na ak moom.",Casse uniquement
واايە مو نداو لا.,Waaye mu ndaw la.,waaye mu ndaw la.,Casse uniquement
تاگگاتال,tàggatal,taggatal,Diacritique uniquement
"واايە فەككوڽو فا نێەوام. ڽو دەللوسي, نەتتالي","waaye fekkuñu fa néewam. Ñu dellusi, nettali","Waaye fekkuñu fa néewam. Ñu dellusi, nettali",Casse uniquement
جوخە ساما باككان ڠير جێلاات كو.,joxe sama bakkan ngir jëlaat ko.,joxe sama bàkkan ngir jëlaat ko.,Diacritique uniquement
تە وێر نە مو ڠي دوند; مو,te wér ne mu ngi dund; mu,Te wér ne mu ngi dund; mu,Casse uniquement
"ندەيجوور واخامباانە وو سول مبوبب مو وەەخ, ڽو دالدي تييت.","ndeyjoor waxambaane wu sol mbubb mu weex, ñu daldi tiit.","ndeyjoor waxambaane wu sul mbubb mu weex, ñu daldi tiit.",Erreur linguistique / structurelle
ماا ڠي تودد فاتوو.,Maa ngi tudd Fatou.,maa ngi tudd fàtoo.,Erreur linguistique / structurelle
"كو لەەن فيتناال, ڽاانال-لەەن كو ييو, تە باڽ كوو مۆولو.","Ku leen fitnaal, ñaanal-leen ko yiw, te bañ koo móolu.","ko leen fitnaal, ñaanal-leen ko yiw, te bañ koo móolu.",Erreur linguistique / structurelle
"نداختە لي بورووم بي دوگال چي اددينا,دينا","Ndaxte li Boroom bi dogal ci àddina,dina","Ndaxte li boroom bi dugal ci àddina,dina",Erreur linguistique / structurelle
خام ناڽو ما بو ياگگ تە مان,Xam nañu ma bu yàgg te man,xam nañu ma bu yàgg te man,Casse uniquement
جوب كێپپ كو كو گێم.,jub képp ku ko gëm.,jub képp ku ku gëm.,Erreur linguistique / structurelle
نوونولە لا مالااكاي ياللا يي دي امە,noonule la malaakay Yàlla yi di ame,Noonule la malaakay Yàlla yi di ame,Casse uniquement
"فەككسي كو. مو ڽاان كو,","fekksi ko. Mu ñaan ko,","Fekksi ko. Mu ñaan ko,",Casse uniquement
"نوونو فاريسەن يا لااج لەەن: «مباا ناخوڽو لەەن, يێەن يتام?","Noonu Farisen ya laaj leen: «Mbaa naxuñu leen, yéen itam?","woonu Farisen ya laaj leen: «Mbaa naxuñu leen, yéen itam?",Erreur linguistique / structurelle
چا ساا سا موي يێگلە چا جاڠو,Ca saa sa muy yégle ca jàngu,ca saa sa muy yégle ca jàngu,Casse uniquement
"ميسرا, مو دەف كو كيليفاگ ميسرا اك كێرام گێپپ.","Misra, mu def ko kilifag Misra ak këram gépp.","Yisra, mu def ko kilifag misra ak këram gépp.",Erreur linguistique / structurelle
"گاننااوسي تەي, اي نيت ڠاي مباال جێمە چي مان.»","gannaawsi tey, ay nit ngay mbaal jëme ci man.»","yannaawsi tey, ay nit ngay mbaal jëme ci man.»",Erreur linguistique / structurelle
"يوكك يت ندامام, لو تاخ كون ياللا","yokk it ndamam, lu tax kon Yàlla","yokk it ndamam, lu tax kon yàlla",Casse uniquement
"دوگگە فيي, تە امولوو مبوببوم چێەت?” واا جي نە مييگ.","dugge fii, te amuloo mbubbum céet?” Waa ji ne miig.","dugge fii, te amuloo mbubbum céet?” waa ji ne miyg.",Erreur linguistique / structurelle
گاننااو لوولو يەەسو فەەڽو ڽاار چي ڽووم,Gannaaw loolu Yeesu feeñu ñaar ci ñoom,Gannaaw loolu Yeesu feañu ñaar ci ñoom,Erreur linguistique / structurelle
دافا ام كو كو ينديل لەكك?»,dafa am ku ko indil lekk?»,dafa am ku ko yoniid lekk?»,Erreur linguistique / structurelle
"ڽي ياللا تاننال بوپپام, كان موو لەەن","Ñi Yàlla tànnal boppam, kan moo leen","ñi Yàlla tannal boppam, kan moo leen",Casse + diacritique
بێرە,bëre,bére,Diacritique uniquement
"جۆگە فا اك ي تااليبەەم, جالل خورو سەدورون, دوگگ چيب توول.","jóge fa ak i taalibeem, jàll xuru Sedoron, dugg cib tool.","jóge fa ak yittaalibeem, jall xoru Sedurun, dugg cib tool.",Erreur linguistique / structurelle
"فاريسەن يا گێنن ناگ, دالدي گيسە, ڠير فەخەە رەيلو يەەسو.","Farisen ya génn nag, daldi gise, ngir fexee reylu Yeesu.","farisen ya génn nag, daldi gise, ngir fexee reylu.",Erreur linguistique / structurelle
تەرە,tere,eere,Erreur linguistique / structurelle
بااي بي; لوولو دوي نا نو.»,Baay bi; loolu doy na nu.»,baay bi; loolu duy na nu.»,Erreur linguistique / structurelle
"يەروسالەم يێگ ناڽو نە, واا ساماري ناڠو","Yerusalem yég nañu ne, waa Samari nangu","yerusalem yég nañu ne, waa Samari nangu",Casse uniquement
ڽێپپ ا ڠي ام جامم.,Ñépp a ngi am jamm.,ñépp a ngi am jàmm.,Casse + diacritique
مان لا. بو فەككەە نە ناگ مان,man la. Bu fekkee ne nag man,man la. Bu fekkee negnag man,Erreur linguistique / structurelle
لا وەددي موكك.» تااليبە يێپپ يت واخە نوونو.,la weddi mukk.» Taalibe yépp it waxe noonu.,Ya weddi mukk.» Taalibe yépp it waxe noonu.,Erreur linguistique / structurelle
لاگگي اك ڽو لافاڽ دالدي وێر.,làggi ak ñu lafañ daldi wér.,laggi ak ñu lafañ daldi wér.,Diacritique uniquement
في نەككال? نداخ نەككالو في يت ڽو دول ياووت? ااڠكاي!,fi nekkal? Ndax nekkalu fi it ñu dul Yawut? Aaŋkay!,fi nekkal? Ndax nekkalu fi it ñu dul yawut? Aaŋkày,Erreur linguistique / structurelle
ام بێس چي تيسباار ناگ مو ام,Am bés ci tisbaar nag mu am,am bés ci tisbaar nag mu am,Casse uniquement
كون مو تاگگتوو اك ڽووم ناان: «ديناا,Kon mu tàggtoo ak ñoom naan: «Dinaa,kon mu taggtoo ak ñoom naan: «Dinaa,Casse + diacritique
"ا ماي ماگگال, مووم مي ڠەەن ناان, مووي سەەن ياللا.","a may màggal, moom mi ngeen naan, mooy seen Yàlla.","a may màggal, moom mi ngeen naan, mooy seen yàlla.",Casse uniquement
لەەراايو لامپ نە رايي چي سا كاو.»,leeraayu làmp ne ràyy ci sa kaw.»,leeraayu làmp ne rayy ci sa kaw.»,Diacritique uniquement
يەدد لەەن نداخ سەەن ڠێمادي اك سەەن,yedd leen ndax seen ngëmadi ak seen,yedd leen ndax seen ngëmadi ak Seen,Casse uniquement
ناڠوو لاال سێف بي ساخ اك سەەن چاتي بااراام.,nangoo laal sëf bi sax ak seen cati baaraam.,nanguu laal sëf bi sax ak seen cati baaraam.,Erreur linguistique / structurelle
"يوروون بويەتو خااليس بي, تە داان چي ساكك.","yoroon boyetu xaalis bi, te daan ci sàkk.","yoroon buyetu xaalis bi, te daan ci sàkk.",Erreur linguistique / structurelle
وۆولوووو,wóoluwoo,wóoluwu,Erreur linguistique / structurelle
"كووكو مووي خەلو ياللا, مي يور دێگگ.","Kooku mooy Xelu Yàlla, mi yor dëgg.","kooku mooy xelu Yàlla, mi yor dégg.",Casse + diacritique
"جوتتالي ناا لەەن سا كاددو, تە اددينا","Jottali naa leen sa kàddu, te àddina","jottali naa leen sa kàddu, te àddina",Casse uniquement
نيروولە,niroole,inroole,Erreur linguistique / structurelle
"نوونو يەەسو تاخاو, دالدي نە: «ووولەەن كو!»","Noonu Yeesu taxaw, daldi ne: «Wooleen ko!»","noonu Yeesu taxaw, daldi ne: «Wowleen ko!»",Erreur linguistique / structurelle
ناڠا دەف اك سا كێر.,Nanga def ak sa kër.,nanga def ak sa kër.,Casse uniquement
ڽو واخ چي مبيروم دووم يي.,Ñu wax ci mbirum doom yi.,ñu wax ci mbirum doom yi.,Casse uniquement
نان لاڽو كوي دەللوو چافكاام? املەەن خوروم تە ڠەەن جامموو.»,nan lañu koy delloo cafkaam? Amleen xorom te ngeen jàmmoo.»,yan lañu koy delloo cafkaam? Amleen xorom tà ngeen jàmmoo.»,Erreur linguistique / structurelle
"بااي بي نەكك چي كاو,نا سا تور سەلل,","Baay bi nekk ci kaw,na sa tur sell,","baay bi nekk ci kaw,na sa tur sell,",Casse uniquement
"گارابو وليو گو كێر گي, ياللا دينا لەەن چي دەللوو.","garabu oliw gu kër gi, Yàlla dina leen ci delloo.","yarabu wliw gu kër gi, Yàlla dina leen ci delluo.",Erreur linguistique / structurelle
"ياو تەيوفيل مو تەدد مي, خام ڠا","Yaw Teyofil mu tedd mi, xam nga","yaw teyufil mu tedd mi, xam nga",Erreur linguistique / structurelle
"داگگەەكوو, مان دوما لا باييي موكك.»","dàggeekoo, man duma la bàyyi mukk.»","daggeekuo, man duma la bàyyi mukk.»",Erreur linguistique / structurelle
چي لو اجو چي يوون وي.,ci lu aju ci Yoon wi.,ci lu aju ci yoon wi.,Casse uniquement
سێق,sëq,séq,Diacritique uniquement
دوي,doy,duy,Erreur linguistique / structurelle
ماڠي لاي ڽاانال گا ام خااليس.,Mangi lay ñaanal ga am xaalis.,màngi lay ñaanal ga am xaalis.,Casse + diacritique
"«كيليفا يي, لو ما وار ا دەف, با موچچ?»","«Kilifa yi, lu ma war a def, ba mucc?»","yklifa yi, lu ma war a def, ba mucc?»",Erreur linguistique / structurelle
"تە باات نە كو: «جۆگال, پييەەر, رەي تە لەكك.»","Te baat ne ko: «Jógal, Piyeer, rey te lekk.»","te baat ne ko: «Jógal, Piyeer, rey te lekk.»",Casse uniquement
"چي كێر ياللا گي, با يندي سوبە","ci kër Yàlla gi, ba indi sobe","ci kër Yàlla gi, ba indi sube",Erreur linguistique / structurelle
"ڽوي دوگگ چا كێر ياللا گا, مو دێكك لەەن لوخو.","ñuy dugg ca kër Yàlla ga, mu dékk leen loxo.","Ñuy dugg ca kër Yàlla ga, mu dëkk leen loxo.",Casse + diacritique
"ليي مووي ڽاارەەلو فيرندە, بي يەەسو دەف","Lii mooy ñaareelu firnde, bi Yeesu def","liy mooy ñaareelu firnde, bi Yeesu def",Erreur linguistique / structurelle
بايييواات كو في ات ميي. ديناا واقي,bàyyiwaat ko fi at mii. Dinaa wàqi,bàyyiwaat ku fi at miy. Dinaa wàqi,Erreur linguistique / structurelle
"فووفا; تە ڽو بارە توپپ كو, مو وێرال لەەن ڽووم ڽێپپ.","foofa; te ñu bare topp ko, mu wéral leen ñoom ñépp.","woofa; te ñu bare topp ko, mu wéral leen ñoom ñépp.",Erreur linguistique / structurelle
"سا, مو جێم گێەج, واايە سيلاس اك تيموتە دەس فا.","sa, mu jëm géej, waaye Silas ak Timote des fa.","sa, mu jëm géej, waaye Silas ak timote des fa.",Casse uniquement
اجي كاوە جي دينا لا ييير چي,Aji Kawe ji dina la yiir ci,Aji kawe ji dina la yiyr ci,Erreur linguistique / structurelle
فويتێەف,fuytéef,Foytéef,Erreur linguistique / structurelle
"ڽو دالدي سانني دييگال, ڠير واڽڽي دوخوب","ñu daldi sànni diigal, ngir wàññi doxub","Ñu daldi sànni diigal, ngir waññi doxob",Erreur linguistique / structurelle
"لەەن, كيي گۆور, كيي جيگێەن.","leen, kii góor, kii jigéen.","leen, kiy góor, kiy jigéen.",Erreur linguistique / structurelle
ندام,ndam,ddàm,Erreur linguistique / structurelle
گيس پوول چا كێر ياللا گا. ڽو,gis Pool ca kër Yàlla ga. Ñu,yis Pool ca kër Yàlla ga. Ñu,Erreur linguistique / structurelle
ام ناا ڽاار دووم.,Am naa ñaar doom.,am naa ñaar doom.,Casse uniquement
ندێنكاان,ndénkaan,ddnnaan,Erreur linguistique / structurelle
يەيوووول ا ليگگێەي چي ڠوورو ياللا.»,yeyoowul a liggéey ci nguuru Yàlla.»,yeyoowula liggéey ci nguuru Yàlla.»,Erreur linguistique / structurelle
لەوپوول,leopool,lewpool,Erreur linguistique / structurelle
"بااخ, ساخ, ناڠو با مەڽڽ تێەمێەري يوون","baax, sax, nangu ba meññ téeméeri yoon","baax, Sax, nangu ba meññ téeméeri yoon",Casse uniquement
پوليتيگ,politig,pulitig,Erreur linguistique / structurelle
اسماان,asmaan,sasmaan,Erreur linguistique / structurelle
اموڽو,amuñu,Amuñu,Casse uniquement
"نداختە گاراب, مەڽڽەەفام لاڽو كوي خاممەە. دەەسول","Ndaxte garab, meññeefam lañu koy xàmmee. Deesul","Yànte garab, meññeefam lañu koy xàmmee. Deesul",Erreur linguistique / structurelle
"نيت ناگ, نداخ ێپپول ماانا خار? كون","Nit nag, ndax ëppul maana xar? Kon","nit nag, ndax ëppul maana xar? Kon",Casse uniquement
وببەە,ubbee,bubbee,Erreur linguistique / structurelle
"ياو مي ناافێق, باي ساماندااي ميير بو","yaw mi naaféq, bay samandaay miir bu","yaw mi naaféq, bay samandaay miyr bu",Erreur linguistique / structurelle
"وار نا سونن لو بارە, ڽو خەەب كو, دێددو كو.","war na sonn lu bare, ñu xeeb ko, dëddu ko.","war na sunn lu bare, ñu xeeb ko, dëddu ko.",Erreur linguistique / structurelle
گاننااو ياللا باالول چار يا چوساانوو چا,Gannaaw Yàlla baalul car ya cosaanoo ca,Gannaaw Yàlla baalul car ya cosaanuo ca,Erreur linguistique / structurelle
تووبوون,tuuboon,tuubuon,Erreur linguistique / structurelle
ماڠي دەم توگگ چي چين بي.,Mangi dem togg ci cin bi.,mangi dem togg ci cin bi.,Casse uniquement
ندابي,ndabi,ddàbi,Erreur linguistique / structurelle
"مو سەەدەە كو نيي: “گيس ناا دااوودا,","mu seedee ko nii: “Gis naa Daawuda,","mu seedee ku nii: “Gis naa daawuda,",Erreur linguistique / structurelle
كوو لەكك چێب امنا وێرسێگ.,Kou lekk cëb amna wërsëg.,koo lekk cëb amna wërsëg.,Erreur linguistique / structurelle
"""بو ما يەەووو, داماي وێر.""","""Bu ma yeewoo, damay wér.""","""Bu ma yeewu, damay wér.""",Erreur linguistique / structurelle
ڽي ما گێم ديناڽو اند اك فيرندە,Ñi ma gëm dinañu ànd ak firnde,ñi ma gëm dinañu ànd ak firnde,Casse uniquement
نداختە كو دەف ساما چووبارەگ بااي بي,Ndaxte ku def sama coobareg Baay bi,Ndaxte ku def sama coobareg baay bi,Casse uniquement
تە بولەەن راگال ڽو مان ا رەي,Te buleen ragal ñu man a rey,te buleen ragal ñu man a rey,Casse uniquement
مان اك بااي بي بەنن لانو.»,Man ak Baay bi benn lanu.»,man ak baay bi benn lanu.»,Casse uniquement
يسراييل داڽوو خامول? ااڠكاي! موساا دافا جێككوون,Israyil dañoo xamul? Aaŋkay! Musaa dafa jëkkoon,Ysrayil dañoo xamul? Aangàk! Musaa dafa jëkkoon,Erreur linguistique / structurelle
"بانت, جوخ كو كو, مو مووچو. مو","bant, jox ko ko, mu muucu. Mu","bant, jox ko ko, mu mooco. Mu",Erreur linguistique / structurelle
"سوو كو لااجەە, ياو چي سا بوپپ,","Soo ko laajee, yaw ci sa bopp,","soo ko laajee, yaw ci sa bopp,",Casse uniquement
ڽو بارە چي يسراييل داانو تە يێككاتيكو.,ñu bare ci Israyil daanu te yékkatiku.,Ñu bare ci Israyil daanu te yékkatiku.,Casse uniquement
تێيە,téye,ëéye,Erreur linguistique / structurelle
"جۆگلەەن نو دەم; كي ماي وور ا ڠي نيي, دي ڽێو.»","Jógleen nu dem; ki may wor a ngi nii, di ñëw.»","jógleen nu dem; ki may wur a ngi nii, di ñëw.»",Erreur linguistique / structurelle
ێللێگ; نو ڠي نە سەەو ياللا بوولە,ëllëg; nu ngi ne seew Yàlla boole,yëllëg; nu ngi ne seew Yàlla boole,Erreur linguistique / structurelle
"«كيليفا گي, موساا بيندال نا نو نە,","«Kilifa gi, Musaa bindal na nu ne,","«Kilifa gi, musaa bindal na nu ne,",Casse uniquement
"بي, ياا ساكك اساماان, سووف, گێەج اك","bi, yaa sàkk asamaan, suuf, géej ak","bi, yaa sakk asamaan, suuf, géej ak",Diacritique uniquement
"ڽو تاق چي مووم, نداخ لي مو","Ñu taq ci moom, ndax li mu","Ñu tàq ci moom, ndax li mu",Diacritique uniquement
"نيير كو, دێگگ بااتو بورووم بي نە كو:","niir ko, dégg baatu Boroom bi ne ko:","niir ku, dégg baatu boroom bi ne ko:",Erreur linguistique / structurelle
"باككاارام ا كو وارال, واللا بو وااجورام?»","bàkkaaram a ko waral, walla bu waajuram?»","bàkkaaram a ku waral, walla bu waajuram?»",Erreur linguistique / structurelle
"لو وۆور چي مبيروم ماام دااوودا, نە","lu wóor ci mbirum maam Daawuda, ne","lu wóor ci mbirum maam daawuda, ne",Casse uniquement
"داماي واخ نە, مبورو مێپپ سەلل نا,","Damay wax ne, mburu mépp sell na,","damay wax ne, mburu mépp sell na,",Casse uniquement
"اك اي جاڠورو يو وووتە, تە داق","ak ay jàngoro yu wuute, te dàq","ak ay jàngoro yu woote, te dàq",Erreur linguistique / structurelle
يێوويكوو,yéwwikoo,yéwuyoo,Erreur linguistique / structurelle
"چي مبارام. نداخ واروماا ناان كااسو ناقار,","ci mbaram. Ndax warumaa naan kaasu naqar,",ci mbaram. Ndax warumaa naan kaasu naqarararararararara,Erreur linguistique / structurelle
نوونو ناڠوووڽوو ييوي ياسون اك ڽي چي,Noonu nanguwuñoo yiwi Yason ak ñi ci,Noonu nanguwuñuoy Yiwi Yasun ak ñi ci,Erreur linguistique / structurelle
"فەكك, تە ڽو بوكك چي يوون وي,","fekk, te ñu bokk ci yoon wi,","Fekk, te ñu bokk ci yoon wi,",Casse uniquement
با تاخ تورام سييو با چي بيير,ba tax turam siiw ba ci biir,ba tax turam Siiw ba ci biir,Casse uniquement
يۆننيل لێەگي ناگ اي نيت چي دێككو,Yónnil léegi nag ay nit ci dëkku,yónnil léegi nag ay nit ci dëkku,Casse uniquement
دوي ڠير مبوولوو مو توللو نيي?»,doy ngir mbooloo mu tollu nii?»,duy ngir mbooloo mu tollu nii?»,Erreur linguistique / structurelle
"ڽو نە: « “تەگ چاب ديير,” لو","Ñu ne: « “Teg cab diir,” lu","Ñu ne: «TTgg cab diir,” lu",Erreur linguistique / structurelle
"نوونو مو يووخو نە: «يەەسو, سێتو دااوودا, يێرێم ما!»","Noonu mu yuuxu ne: «Yeesu, Sëtu Daawuda, yërëm ma!»","woonu mu yuuxu ne: «Yeesu, sëtu Daawuda, yërëm ma!»",Erreur linguistique / structurelle
"تە يت بوولە ووون نا چي يەنەەن ڽااوتەەف,","te it boole woon na ci yeneen ñaawteef,","Te it boole woon na ci yeneen ñaawteef,",Casse uniquement
"كاو, گێرێم ياللا, با نوپپي مو دامم","kaw, gërëm Yàlla, ba noppi mu damm","kaw, gërëm Yàlla, ba noppi mu dàmm",Diacritique uniquement
"يووخ گو رێي,راسەل مووي جووي اي دوومامتە","yuux gu réy,Rasel mooy jooy ay doomamte","yuux gu réy,rasel mooy jooy ay doomamte",Casse uniquement
خامااكوونو,xamaakoonu,xamaakuonu,Erreur linguistique / structurelle
"فەكك بووبا مو رومب فا, جۆگە چا","Fekk booba mu romb fa, jóge ca","fekk booba mu romb fa, jóge ca",Casse uniquement
"فيليب مو ڠا دێككوون بەتسايدا, دێككو اندارە اك پييەەر.","Filib mu nga dëkkoon Betsayda, dëkku Andare ak Piyeer.","filib mu nga dëkkoon betsayda, dëkku Andare ak Piyeer.",Casse uniquement
نداوول,ndawul,Nddawul,Erreur linguistique / structurelle
ماا ڠي سانت ياللا چي لي ما,Maa ngi sant Yàlla ci li ma,maa ngi sant Yàlla ci li ma,Casse uniquement
"چا ێللێگ سا چا فاجار, مو دەللو","Ca ëllëg sa ca fajar, mu dellu","ca ëllëg sa ca fajar, mu dellu",Casse uniquement
"سا مبير دو دێگگ, واايە ياا ڠي","sa mbir du dëgg, waaye yaa ngi","sa mbir du dégg, waaye yaa ngi",Diacritique uniquement
ڽو رێچچ كو.,Ñu rëcc ko.,ñu rëcc ko.,Casse uniquement
نە لەەن: «لێەگي ڽو جێببال دوومو نيت,ne leen: «Léegi ñu jébbal Doomu nit,ne leen: «Léegi ñu jébbal doomu nit,Casse uniquement
